,,,,,,,,,,,,,,,,,Cross-Platform Availability,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 9,Wiki_Relate,"WikiRelate is a visual knowledge exploration tool that lets users search any topic and instantly discover related articles and concepts from Wikipedia and Wikidata through clickable links. It simplifies access to interconnected information, making it ideal for students, researchers, and the general public. By bridging knowledge gaps and supporting multilingual learning, it promotes open access to verified information and digital literacy.","Students,Teachers,Researchers",none,https://huggingface.co/spaces/nayonikanarayanan/Wiki_Relate,Gitlab Repo,,,https://code.swecha.org/soai2025/soai-hackathon/wiki_relate,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,"English,Hindi,Tamil,Telugu,Tamil,Kannada,Bengali,Punjabi,Malyalam,Gujarathi",No,Yes,yes,No,No,no,No,No,No,Yes,No,Yes,Yes,
Team 10,Nature_Nexus,It is an application to identify of wide-variety of species.,"Travellers,Students,Researchers",none yet,https://huggingface.co/spaces/Suhana1405/Nature_Nexus',Gitlab Repo,Need some modification so that almost every species could get identified.,,https://code.swecha.org/soai2025/soai-hackathon/nature_nexus',yes,yes,yes,no,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,
Team 11,Wiki_Arena,"The app is designed to be simple, engaging,making it perfect for schoolchildren, quiz enthusiasts, and learners of all ages across India."," Students,Developers,Educators",none yet,https://huggingface.co/spaces/MSivasandeep/BharathMap,Gitlab Repo,"The app is designed to be simple, engaging, and multilingual, making it perfect for schoolchildren, quiz enthusiasts, and learners of all ages across India.",We are looking forward to make it more local and easy for people to understand and work with it,https://code.swecha.org/soai2025/soai-hackathon/team-11,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,English,working on it,yes,yes,yes,no,yes,yes,no,no,no,no ,yes,yes,
Team 12,FloFA,"Flofa is a multilingual web app that lets users discover detailed plant and animal information in 10+ Indian languages using Wikimedia APIs, promoting biodiversity awareness and inclusive environmental education.","Flofa benefits students, educators, and nature enthusiasts by providing biodiversity information in their native language.",none yet,https://vardhansaireddy-flofa.hf.space/,Gitlab Repo,"We collect user feedback via form embeds, improve multilingual support, and plan outreach via school/college partnerships and community drives.","We aim to localize Flofa further for Indian regions, onboard rural educators, and promote through NGOs, regional language platforms, and social media.",https://code.swecha.org/soai2025/soai-hackathon/Flo-Fa,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,"English,telugu,hindi,bengali","English,telugu,hindi,bengali",yes,yes,yes,yes,no,yes,no,no,no,yes,not yet,yes,yes,
Team 13,EduWiki,"EduWiki Offline lets you learn and quiz on topics anytime, without internet.","EduWiki Offline benefits students, teachers, and learners",none ,https://huggingface.co/spaces/saahiti/EduWiki,"
Your Pocket Encyclopedia for Smarter Learning","Teachers, students",,https://code.swecha.org/soai2025/soai-hackathon/wikiverse,yes,yes,yes,yes,,,,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,"English, hindi, malayalam, telugu, marathi, bengali, Gujarathi","English, hindi, malayalam, telugu, marathi, bengali, Gujarathi",yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,
Team 14,WikiBot,WikiBot is a powerful Streamlit-based app that combines Wikipedia with local LLM intelligence using Ollama.,"Students,Teachers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 15,WikiTales,"WikiTales is an open-source, story-driven web app that transforms raw historical data from Wikimedia projects into immersive, engaging storybook-style narratives. Built with Python and Streamlit, it’s designed to help learners explore the past like never before.",everyone,4,https://huggingface.co/spaces/rishipal/WikiTales,Gitlab Repo,"Students , Children",4,https://code.swecha.org/soai2025/soai-hackathon/team-titans,yes,yes,yes,yes,no,not yet,none,yes,yes,yes,n/a,yes,yes,n/a,yes,yes,yes,yes,n/a,english,english,no,yes,yes,,no,yes,yes,,,,,,,
Team 16,wikimeme,"WikiMeme turns Wikipedia topics into memes, making learning fun and shareable for education, awareness, and social media.","Students, educators, and creators benefit by turning knowledge into engaging, shareable content.",None yet,,Gitlab Repo," plan, integrate Wikipedia API, build UI, add features, and deploy with testing.","Expand from Indian institutions to global users via open-source platforms, multilingual support, and educational partnerships.",https://code.swecha.org/soai2025/soai-hackathon/wikimeme,yes,yes,yes,yes,,,,yes,,yes,,,,,,,,,,english,english,,yes,yes,no,no,Yes,no,no,no,,no,,yes,
Team 17,WikiTrail,AI-powered tool that visualizes and summarizes Wikipedia topics with multilingual support and related concept linking.,"Students,Educators,Researchers",None yet,https://huggingface.co/spaces/sathvikk/wikitrial,Gitlab Repo,"Students,Educators,Researchers",,https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-17,yes,yes,yes,yes,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,English,"English,Telugu,Hindi",yes,yes,yes,No,no,Yes,yes,no ,no ,yes,no,no,yes,
Team 18,WikiYatra,"WikiYatra is a multilingual, AI-powered travel guide that gathers rich tourist information like summaries, must-see attractions, and geo-data","Travelers, language learners, educators, researchers, content creators, tourism departments",4,https://huggingface.co/spaces/Vaishnavi1206/Wikiyatra,Gitlab Repo,general public interested in exploring destinations with regionally and linguistically tailored content,4,https://code.swecha.org/soai2025/soai-hackathon/wikiyatra,yes,yes,yes,no,,,,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,English," English, Hindi, Telugu, Tamil, Kannada and etc",Yes,yes,yes,yes,no,yes,yes,no ,no ,yes,no,no,yes,
Team 19,Kathayatra,"KathaYatra is an interactive storytelling app that brings India’s rich folk tales and legends to life, state by state.",,None yet,https://huggingface.co/spaces/sadhvika26/Kathayatra,Gitlab Repo,"KathaYatra is an interactive storytelling app that brings India’s rich folk tales and legends to life, state by state.",,https://code.swecha.org/soai2025/soai-hackathon/group_19,yes,yes,yes,yes,yes,not yet,not yet,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,"brave,opera",English,English,Yes,yes,yes,yes,,yes,yes,no,no,no,no,no,no,
Team 20,pastpoint,"Pastpoint is interactive tool allows users to discover historical and visual context of any global location and it provides users with real-time summaries,images and maps","Students,Travellers.Researchers",None yet,Streamlit   ,Gitlab repo,https://pastpoint.app/strategy/user-growth-and-feature-improvement,"https://pastpoint.app/strategy/global-expansion-and-user-onboarding
",https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-20.git,yes,yes,yes,yes,yes,not yet,not yet,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,"brave,opera",English,english,NO,Yes,yes,no,no,yes,yes,no,no,yes,no,no,yes,
Team 21,WikiHabit,"WikiHabit is a multilingual Streamlit app that generates interactive quizzes, word-of-the-day, and quotes from Wikipedia to make daily learning fun and engaging.","Students, language learners, educators, trivia enthusiasts, and lifelong learners.",4,HuggingFace and streamlit,,,,,yes,yes,,,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,"Brave,Opera",தமிழ் (ta),All Indic languages,yes,yes,yes,yes,no,Yes,yes,no,no,no,no,no,,
Team 22,Wiki2map,"A visual exploration tool built for the WikiVerse Hackathon 2025. Wiki2Map transforms topics into interactive stories by plotting related Wikipedia articles on a world map, enriched with images and AI-generated summaries.","Students,Decision-makers",none,https://huggingface.co/spaces/Duggineni/wikimapper,git lab repo,,Phase 1: Global Place Search  Phase 2: Focus on Indian Regions Phase 3: Language Support Phase 4: Nearby Places Phase 5: Upload Custom Locations,https://code.swecha.org/soai2025/soai-hackathon/wiki2map_team22,yes,yes,yes,no,yes,,,yes,yes,yes,,yes,yes,no,yes,yes,yes,yes,chrome,ಕನ್ನಡ (kn),english,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,,
Team 23,GearUP,"GearUP is an AI-powered tool that assists vehicle owners by predicting service intervals, estimating maintenance costs, recommending part replacements, and suggesting nearby service centers using Google Maps. It promotes cost-efficient vehicle upkeep and timely service, reducing breakdowns and encouraging responsible vehicle ownership.","Vehicle owners, especially two-wheeler and car users in urban and semi-urban areas. Also beneficial for fleet operators, auto service providers, and vehicle resellers.",N/A (Not provided),"Streamlit App, Hugging Face Space",N/A (Not explicitly documented),,,it is an app that tells about vechiles,,yes,yes,yes,yes,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,"brave,chrome",മലയാളം (ml),,,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,,
Team 24,WildCardss,"WildCards provides instant, multilingual species flashcards with taxonomy and images for easy biodiversity learning.","Students, researchers and taxonomy enthusiasts.",4,https://huggingface.co/spaces/Trinay16/WildCardss,git lab repo,"Students, researchers and taxonomy enthusiasts.",4,https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-24,yes,yes,yes,no,yes,growth strategy for now is to add multilingual ,growth strategy for now is to add ai for more easy use,yes,no,yes,,yes,no,no,yes,yes,yes,yes,yes,english,English(working on other languages),no,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,
Team 25,WikiFit,Provides health care tips ,"fitness enthusiasts, beginners, trainers, and health seekers",4,https://huggingface.co/spaces/PhanindraVarma/wikifit,git lab repo,"general public, intrested in fitness.",,,yes,yes,yes,no,yes,not yet,not yet,yes,yes,yes,,yes,yes,no,yes,yes,yes,yes,,বাংলা (bn),English,no,,,,,,,,,,,,,
Team 26,Wikistro," Wikistro enhances learning accessibility and supports students, educators, and curious minds with instant knowledge",Students and Teachers,none,https://huggingface.co/spaces/Revanthbellam/wikistro,,,,https://code.swecha.org/soai2025/soai-hackathon/wikistro/-/tree/main,yes,yes,yes,,,,,yes,,yes,,yes,,,yes,yes,yes,yes,,मराठी (mr),English,working on it,yes,yes,,no,yes,no,no,no,yes,yes,yes,yes,
Team 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ਪੰਜਾਬੀ (pa),,,,,,,,,,,,,,,
Team 28,WikiLingo Compare,An open-source multilingual tool that allows users to explore how a single concept or topic is expressed across different languages on Wikipedia and Wiktionary. ,"Students, educators, translators, linguists, and language enthusiasts interested in multilingual and cultural comparisons of knowledge",0 as of now,https://huggingface.co/spaces/shashi126/wikilingo-frontend,https://docs.google.com/document/d/1ZuOKjsG8sPw5P4taw1aVabbQBln3gSEIDWd5ZFAGKBo/edit?addon_store&tab=t.0,https://docs.google.com/document/d/1WzR6qfKU6Nm3RGCcbOWD0TRoNLzZW42KkJF2Glv1n7U/edit?tab=t.0,https://docs.google.com/document/d/1_m-oROTzEObayEDJ2-XfShc-iDBSBcu_AgdL-xYXJRA/edit?tab=t.0,https://code.swecha.org/soai2025/soai-hackathon/Hackathon-team-28,Yes,Yes,Yes,Yes,Yes,https://docs.google.com/document/d/1WzR6qfKU6Nm3RGCcbOWD0TRoNLzZW42KkJF2Glv1n7U/edit?tab=t.0,https://docs.google.com/document/d/1_m-oROTzEObayEDJ2-XfShc-iDBSBcu_AgdL-xYXJRA/edit?tab=t.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Windows,"English,Telugu,Hindi,Tamil,kannada,Malayalam","English,Telugu,Hindi,Tamil,kannada,Malayalam",Not yet,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,
Team 29,Vedica,"Vedica is an open-source AI-powered assistant that offers holistic information on Ayurveda by seamlessly integrating with Wikimedia APIs. It provides users with authentic knowledge on Ayurvedic practices, herbs, therapies, and remedies.","Students,Doctors,Researchers,Common People",none yet,https://huggingface.co/spaces/krish-sai/vedica_app,git lab repo,,,https://code.swecha.org/soai2025/soai-hackathon/29_hackathon,yes,Yes,Yes,no,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,English,English,working on it,Yes,Yes,Yes,no,Yes,Yes,no,no,yes,no,yes,yes,
Team 30,Bharat_Gyan,"A multilingual, AI-powered Streamlit web application.","Students, Tourists,etc",,https://huggingface.co/spaces/Suryansh14124/Bharat_Gyan,git lab repo,,,https://code.swecha.org/soai2025/soai-hackathon/team-30_wikiverse,yes,yes,yes,yes,,,,yes,,yes,,yes,,,yes,yes,,,,"Tel,Eng,Hin,urdu,Mal,Kan,Ben,tam,etc","Tel,Eng, tam,urd,ben,mar,mal,etc",yes,yes,,,no,,yes,,,,,,,
Team 31,"Crises Pulse
","CrisisPulse is a crisis intelligence dashboard that delivers a unified feed of global emergency events, disasters, and geopolitical conflicts using Wikimedia APIs","Disaster Response Teams,Journalists & Media Outlets, Data Analysts & Researchers",Not Yet,https://huggingface.co/spaces/Sreenadhan-Reddy/CrisisPulse,git lab repo,,,https://code.swecha.org/soai2025/soai-hackathon/team-31,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,
Team 32,HeroicVerse,"Heroic Verse is an AI-powered tribute platform that explores the lives of global freedom fighters and unsung heroes through real-time Wikipedia data, ","Researchers & Knowledge Enthusiasts, Civic Activists & NGOs, Students",Not applicable(public open-access app),https://huggingface.co/spaces/jayanth-2005/Heroic_verse,Git Lab Repo,"Researchers & Knowledge Enthusiasts, Civic Activists & NGOs, Students",Not applicable(public open-access app),https://code.swecha.org/soai2025/soai-hackathon/heroic_verse,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,English,English,Yes,Yes,Yes,Yes,No,Yes,Yes,No,no,no,no,no,Yes,
Team 33,QuestMuse,Gamified museum and landmark explorer,"travelers,adventurers",0,https://huggingface.co/spaces/nanditanishanth/QUESTMUSE33,gitlab repo,,,https://huggingface.co/spaces/nanditanishanth/QUESTMUSE33,Yes,Yes,Yes,yes,,,,yes,no,yes,,yes,no,,yes,yes,no,yes,,english,english,no,yes,yes,Yes,no,Yes,Yes,No,No,No,No,No,Yes,
Team 34,TimeScope,"a modern news app that brings you today’s headlines and lets you travel back in time to discover what happened on this day in previous years. Powered by reliable sources like BBC News and WikiDay, Timescope offers a unique blend of current events and historical news — perfect for news enthusiasts and history buffs alike.",Anyone curious to find out about the latest trending news,4 as of now,https://huggingface.co/spaces/PranaviPenumetcha/TimeScope,,,,https://code.swecha.org/soai2025/soai-hackathon/timescope/-/tree/main,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,
Team 35,WikiAnchor,"WikiAnchor is a multilingual, lightweight news explainer app that delivers real-time news using RSS feeds, translates them into Indian languages, and provides audio narration for improved accessibility.","It is especially useful for low-literacy and rural users who prefer native language news in a spoken format.
",none,https://huggingface.co/spaces/Kvarsha172005/Wikianchor,Gitlab repo,"It is especially useful for low-literacy and rural users who prefer native language news in a spoken format.
",,https://code.swecha.org/soai2025/soai-hackathon/wikianchor,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,streamlit/Hugging face,Yes,Yes,,Yes,Yes,Yes,Yes,,English,"English, Hindi, Telugu, Tamil",Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,
Team 36,Culture-connect,"Learn languages through idioms, culture, quotes—connecting generations globally."," language learners,literature enthusiats and heritage learners",not applicable ,https://cultureconnect-ochre.vercel.app/,gitlab repo,It's for language enthusiasts and students who want to develop their vocabulary ,No enrollment ,https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-36,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,"huggingface,vercel",Yes,Yes,,Yes,Yes,Yes,Yes,,All languages ,"All indic languages and also other languages like spanish,german,etc",Yes,yes ,yes,Not yet created ,no,no dataset,no dataset ,no,no,no,no,yes,yes,
Team 37,KhabarChakra,"A real-time, multilingual news exploration platform powered by Wikimedia APIs and open-source AI.",General Folk,5 as of now,https://huggingface.co/spaces/Sadiya786HF/KhabarChakra-Grp37,https://code.swecha.org/soai2025/soai-hackathon/khabarchakra_grp37,https://in.docworkspace.com/d/sICH97fziAfWBj8MG?sa=601.1037,https://in.docworkspace.com,https://code.swecha.org/soai2025/soai-hackathon/khabarchakra_grp37,YES,YES,YES,YES,,,,YES,NO,YES,,YES,NO,,YES,YES,NO,YES,,All indian languages,all indian languages,yes,yes,yes,no,no,no,yes,no,no,no,yes,yes,yes,
Team 38,TriviaVerse_38,"General Knowledge, Geography, Science & Nature, Mathematics, History, Art & Literature, Entertainment (Movies, TV, Music), Sports, Computers & Technology, Religion & Mythology, Current Affairs, Food & Drink, Fantasy & Fiction, Riddles & Logic, World Cultures",TriviaVerse is an AI quiz app that turns Wikipedia topics into fun MCQs using open-source models. Learn by quizzing — online or offline.,"Anyone who wants to learn, teach, or build using AI and open knowledge sources — without needing internet or paid tools.",https://huggingface.co/spaces/Bharath370/Trivia1,present in the gitlab repo,TriviaVerse_38,,"TriviaVerse is a fun web-based quiz game where users answer questions from categories like Science, History, and Entertainment. It helps improve knowledge, memory, and thinking skills. It can be used for learning in schools, team activities, or just for fun. TriviaVerse promotes education through play and makes learning more accessible and enjoyable for everyone.","Anyone who wants to learn, teach, or build using AI and open knowledge sources — without needing internet or paid tools.",yes,yes,yes,yes,,,yes,yes,yes,URL(Streamlit/Huggingface),yes,yes,yes,yes,yes,yes,yes,yes,"English,Hindi,Telugu","English,Hindi,Telugu",yes,yes,yes,NOT YET,no,yes,yes,no,no,Yes,no,YES,yes,
Team 39,WikiHealth-Navigator,"WikiHealth Navigator is an open-source web app that delivers accurate, multilingual health information using trusted sources like Wikipedia and Wikidata. It helps bridge healthcare knowledge gaps by simplifying complex topics and supporting diverse language needs.","Rural and non-English-speaking users seeking reliable, simplified health information in their native language. Also benefits students, educators, and NGOs focused on public health awareness.",None as of now,https://huggingface.co/spaces/ChakriYamasani/WikiHealth-Navigator,N/A (Not explicitly documented),,,https://code.swecha.org/soai2025/soai-hackathon/wikihealthnavigator,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Any Desktop Interface,Yes,Yes,N/A,Yes,Yes,Yes,Yes,N/A,English,"English,Telugu,Hindi,Tamil",No,Yes,Yes,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Yes,Yes,
Team 40,Indic History Hub,"This project is an interactive educational assistant that provides AI-generated historical events into storytelling, topic summarization with quizzes, and  shloka translation in different languages","Student,educators ,cultural learners ",Indic History Hub,https://huggingface.co/spaces/chinthamthanuja/Indic-history-hub,https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-40/-/blob/main/README.md?ref_type=heads,"Student,educators ,cultural learners ",Not applicable ,https://code.swecha.org/soai2025/soai-hackathon/hackathon-group-40/-/blob/main/app.py?ref_type=heads,Yes,Yes,Yes,yes,yes,yes,yes,yes,yes,yes,Streamlit/Hugging Face,yes,yes,no,yes,yes,yes,yes,no,"english, hindi, telugu,kanada,tamil","english, hindi, telugu,kanada,tamil",yes,yes,yes,yes,yes,yes,yes,no,no,yes,no,yes,yes,
Team 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 42,IntelliTrip,"Users can search for specific monuments, view images, learn about their history, architecture, location, and cultural significance. The app may also include interactive features like maps, suggested nearby landmarks","Students, tourists, and curious users exploring Indian historical places.",Not yet,https://huggingface.co/spaces/Arshiatasneem/IntelliTrip,git lab repo,,,https://code.swecha.org/soai2025/soai-hackathon/intellitrip,yes,yes,yes,,,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,,"English, hindi , telugu","English, hindi , telugu",yes,no,yes,yes,no,no,yes,yes,no,yes,no,yes,yes,
Team 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 44,Histopedia,Histopedia is an interactive Streamlit application that enables users to explore major global incidents that happened in any given year.,"Students, Teachers, Researchers, Youtubers & Travellers",none,https://huggingface.co/spaces/Srinija165/Histopedia,,,,https://code.swecha.org/soai2025/soai-hackathon/team44,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,,English,"English, Telugu, Hindi, Deutusch, Spanish",Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,
Team 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 47,WikiWhiz,WikiWhiz is a multilingual quiz application that generates questions based on selected topics.,"Students, exam aspirants, learners, casual learners and quiz lovers",None,https://huggingface.co/spaces/Aditya6996/WikiWiz_Quizipediaa,gitLab Repo,,,https://code.swecha.org/soai2025/soai-hackathon/triviaversia/-/blob/main/app.py,yes,yes,yes,yes,yes,,yes,no,yes,yes,,yes,yes,,yes,yes,not sure,yes,,"English, telugu, hindi, Malayalam, Tamil, Kannada, Urdu",english,yes,yes,yes,yes,no,yes,yes,no,yes,yes,not sure,not sure,yes,
Team 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team 50,WisdomSteps,"WisdomSteps is a lightweight, web-based app that transforms static encyclopedia content into a structured learning journey.","Students, self-learners, educators, exam aspirants, and curious beginners ",none,https://huggingface.co/spaces/HarshavardhanReddye/WisdomSteps,"WisdomSteps is a web app that curates structured, 3-level learning paths (Beginner → Intermediate → Deep Dive) using Wikipedia content. It helps users explore any topic progressively, making self-learning accessible, intuitive, and impactful.","students, educators, researchers, learners",4,https://code.swecha.org/soai2025/soai-hackathon/wisdomsteps_team-50,Yes,Yes,Yes,No,yes,planning ,planning,yes,yes,yes,adaptable with the link,yes,yes,adaptable with the link,yes,yes,yes,yes,adaptable with the link,"english, telugu, Hindi ","english, telugu, Hindi ",no,Yes,Yes,yes,No,Yes,yes,yes,no,yes,N/A,yes,yes,
Team 51,Wikivaani,"Wiki Vaani that enables Wikipedia searches via text or voice input, reads articles aloud, summarizes, translates with a dark-themed UI.",wikivaani,none,https://huggingface.co/spaces/RupashKumari/wikivaani,Gitlab Repo,,,https://code.swecha.org/soai2025/soai-hackathon/hackathon_51,yes,yes,yes,no, ,,,yes,yes,yes,,yes,yes,,yes,yes,yes,yes,no,English,English,Yes,no,yes,yes,No,Yes,yes,Yes,Yes,Yes,No,No,yes,
